"MUT";"SRUN";"SCT";"SAVGTCT";"SCTCT";"TRUN";"TCT";"TAVGTCT";"TCTCT"
445;392;176798;4,08;1841,65;418;187744;4,35;1955,67
446;396;177194;4,13;1845,77;419;188163;4,36;1960,03
447;393;177587;4,09;1849,86;419;188582;4,36;1964,40
448;394;177981;4,10;1853,97;420;189002;4,38;1968,77
449;396;178377;4,13;1858,09;420;189422;4,38;1973,15
450;394;178771;4,10;1862,20;413;189835;4,30;1977,45
451;393;179164;4,09;1866,29;418;190253;4,35;1981,80
452;394;179558;4,10;1870,40;421;190674;4,39;1986,19
453;394;179952;4,10;1874,50;418;191092;4,35;1990,54
454;398;180350;4,15;1878,65;418;191510;4,35;1994,90
455;394;180744;4,10;1882,75;417;191927;4,34;1999,24
456;396;181140;4,13;1886,88;419;192346;4,36;2003,60
457;391;181531;4,07;1890,95;420;192766;4,38;2007,98
458;393;181924;4,09;1895,04;419;193185;4,36;2012,34
459;396;182320;4,13;1899,17;420;193605;4,38;2016,72
460;398;182718;4,15;1903,31;418;194023;4,35;2021,07
461;395;183113;4,11;1907,43;419;194442;4,36;2025,44
462;391;183504;4,07;1911,50;460;194902;4,79;2030,23
463;396;183900;4,13;1915,63;421;195323;4,39;2034,61
464;440;184340;4,58;1920,21;419;195742;4,36;2038,98
465;391;184731;4,07;1924,28;419;196161;4,36;2043,34
466;389;185120;4,05;1928,33;419;196580;4,36;2047,71
467;389;185509;4,05;1932,39;420;197000;4,38;2052,08
468;393;185902;4,09;1936,48;417;197417;4,34;2056,43
469;389;186291;4,05;1940,53;415;197832;4,32;2060,75
470;390;186681;4,06;1944,59;422;198254;4,40;2065,15
