2024-03-12 02:15:14.992019797+00:00 - END BUILDING MUTANT APK PwGroupView_4_BinaryMutator
2024-03-12 02:15:14.992923970+00:00 - BEGIN INSTALLING MUTANT APK PwGroupView_4_BinaryMutator
2024-03-12 02:15:15.151719542+00:00 - END INSTALLING MUTANT APK PwGroupView_4_BinaryMutator
2024-03-12 02:17:11.525105989+00:00 - END RUNNING MUTANT PwGroupView_4_BinaryMutator
2024-03-12 02:17:11.528748102+00:00 - BEGIN RUNNING MUTANT PwGroupView_5_InvalidViewFocusOperatorMutator
2024-03-12 02:17:11.529742606+00:00 - BEGIN BUILDING MUTANT APK PwGroupView_5_InvalidViewFocusOperatorMutator
2024-03-12 02:17:15.653912462+00:00 - END BUILDING MUTANT APK PwGroupView_5_InvalidViewFocusOperatorMutator
2024-03-12 02:17:15.654777117+00:00 - BEGIN INSTALLING MUTANT APK PwGroupView_5_InvalidViewFocusOperatorMutator
2024-03-12 02:17:15.806592637+00:00 - END INSTALLING MUTANT APK PwGroupView_5_InvalidViewFocusOperatorMutator
2024-03-12 02:19:12.279958174+00:00 - END RUNNING MUTANT PwGroupView_5_InvalidViewFocusOperatorMutator
2024-03-12 02:19:12.283709528+00:00 - BEGIN RUNNING MUTANT PwGroupView_6_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:19:12.284642306+00:00 - BEGIN BUILDING MUTANT APK PwGroupView_6_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:19:16.234460735+00:00 - END BUILDING MUTANT APK PwGroupView_6_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:19:16.235310806+00:00 - BEGIN INSTALLING MUTANT APK PwGroupView_6_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:19:16.393473949+00:00 - END INSTALLING MUTANT APK PwGroupView_6_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:21:12.660835185+00:00 - END RUNNING MUTANT PwGroupView_6_ViewComponentNotVisibleOperatorMutator
2024-03-12 02:21:12.664572695+00:00 - BEGIN RUNNING MUTANT EntrySection_0_InvalidViewFocusOperatorMutator
2024-03-12 02:21:12.665789272+00:00 - BEGIN BUILDING MUTANT APK EntrySection_0_InvalidViewFocusOperatorMutator
2024-03-12 02:21:16.744051846+00:00 - END BUILDING MUTANT APK EntrySection_0_InvalidViewFocusOperatorMutator
2024-03-12 02:21:16.744957683+00:00 - BEGIN INSTALLING MUTANT APK EntrySection_0_InvalidViewFocusOperatorMutator
2024-03-12 02:21:16.903131662+00:00 - END INSTALLING MUTANT APK EntrySection_0_InvalidViewFocusOperatorMutator
2024-03-12 02:23:13.180830249+00:00 - END RUNNING MUTANT EntrySection_0_InvalidViewFocusOperatorMutator
2024-03-12 02:23:13.184631245+00:00 - BEGIN RUNNING MUTANT EntrySection_1_ViewComponentNotVisibleOperatorMutator
