2024-03-28 08:16:16.839547992+00:00 - END RUNNING MUTANT Note_7_BinaryMutator
2024-03-28 08:16:16.843552796+00:00 - BEGIN RUNNING MUTANT Note_8_BinaryMutator
2024-03-28 08:16:16.852936567+00:00 - BEGIN BUILDING MUTANT APK Note_8_BinaryMutator
2024-03-28 08:16:21.475027812+00:00 - END BUILDING MUTANT APK Note_8_BinaryMutator
2024-03-28 08:16:21.476289491+00:00 - BEGIN INSTALLING MUTANT APK Note_8_BinaryMutator
2024-03-28 08:16:21.674632532+00:00 - END INSTALLING MUTANT APK Note_8_BinaryMutator
2024-03-28 08:19:06.787986257+00:00 - END RUNNING MUTANT Note_8_BinaryMutator
2024-03-28 08:19:06.792166855+00:00 - BEGIN RUNNING MUTANT Note_9_BinaryMutator
2024-03-28 08:19:06.801827920+00:00 - BEGIN BUILDING MUTANT APK Note_9_BinaryMutator
2024-03-28 08:19:11.487622541+00:00 - END BUILDING MUTANT APK Note_9_BinaryMutator
2024-03-28 08:19:11.488595294+00:00 - BEGIN INSTALLING MUTANT APK Note_9_BinaryMutator
